place.name,place.full_name,user.time_zone,user.location,username,Text,Location Target (Physical) (general),Location Target (Physical) (specific),Location Target (Physical) (unique),Business Target (Physical) (general),Business Target (Physical) (specific),Business Target (Physical) (unique),sentiment_scores
Gold Coast,"Gold Coast, Queensland",Brisbane,"Brisbane, Australia",DJ MAARV,All the #throwback tunes surfersbeergarden Chingy Show lastnight! Got a snap with @stacksssssss‚Ä¶ https://t.co/iyX8bchBZb,Gold Coast,Suburb,Surfer Paradise,Food and Beverage,"Bars, pubs and clubs",Bar,0
Gold Coast,"Gold Coast, Queensland",,"Gold Coast, Australia",Shane Black,A bloody good burger. In a food coma right now ?üòã Check these guys out if you're on the coast‚Ä¶ https://t.co/j7vSDHPiiJ,,,,Food and Beverage,Restaurant,,0
Gold Coast,"Gold Coast, Queensland",,"Sydney, New South Wales",Grant Moxham,.@OfTheWilds  next year (or the one after) we gun try and find a way to drag you down here! There is Korean bbq just down the road....,,,,Food and Beverage,Restaurant,Korean BBQ,-0.1854
Gold Coast,"Gold Coast, Queensland",,,Jonathan Ng,"I'm at Warner Bros. @MovieWorldAus in Oxenford, QLD https://t.co/FnyFpr5DTt",Gold Coast,Suburb,Oxenford,Attraction,Manmade,Theme Park,0
Gold Coast,"Gold Coast, Queensland",Alaska,kl,cheryl,"I'm at Biggera Waters Beach in Biggera Waters, QLD https://t.co/9Ks1fxqxmq",Gold Coast,Suburb,Biggera Waters,,,,0
Gold Coast,"Gold Coast, Queensland",,"New South Wales, Australia",Melissa Jane Petrak,"#Harambe #CincinnatiZoo inadequate protections for visitors &amp; ZOO failed #DutyOfCare
Parents suffering Hatred due to #Defamation
how unfair",Ohio,City,Cincinnati,Cincinnati Zoo,Manmade,Zoo,-0.9468
Gold Coast,"Gold Coast, Queensland",Melbourne,"Fitzroy, Victoria, Australia",Planisphere,"Sun, surf, sea, sand, towers, canals, mountains...place DNA! https://t.co/O7yKSNsZ8t",,,,,,,0
Gold Coast,"Gold Coast, Queensland",Sydney,Australia,Mark Beretta,Morning from the quiksilver Pro! The biggest names in world surfing are out training. wsl @‚Ä¶ https://t.co/MCqySAzfpF,,,,Recreation,Water based sport,Competition,0
Gold Coast,"Gold Coast, Queensland",Melbourne,"Gold Coast, Queensland",WayneDonnelly,Starting the day on the water. Beautiful to watch @ Burleigh Heads Beach https://t.co/LuhCrGhuZ4,Gold Coast,Suburb,Burleigh Heads,,,,0.2997
Gold Coast,"Gold Coast, Queensland",Brisbane,"Brisbane, Australia",NATALIE McCOMAS,"&gt; more summer please ‚òÄÔ∏è?üí?
#vscocam #tallebudgera #goldcoast #MyAustralia @ Tallebudgera Beach https://t.co/zLGkUeKEQC",Gold Coast,Suburb,Tallebudgera,,,,0.3774
Gold Coast,"Gold Coast, Queensland",Central Time (US & Canada),i am beyonce always,Megan Borgmier,"Missin this place and these people more and more @ Gold Coast,‚Ä¶ https://t.co/Xk9gsplyjO",Gold Coast,,,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, Australia.",?Ç≠?Éº?É©,Wishing I was curled up here instead of working a ten hour day ‚òÅÔ∏è?üí§ @ Nobby's Beach https://t.co/BhrLCQnSb6,Gold Coast,Suburb,Beach,,,,0.2263
Gold Coast,"Gold Coast, Queensland",,,Peter Smith,Supernova Gold Coast #supanovagoldcoast #supanova  #goldcoastsupanova #ilovegoldcoast  #cosplay‚Ä¶ https://t.co/BMB5kDVPVq,Gold Coast,,Supernova ,Entertainment,Events,Supernova,0
Gold Coast,"Gold Coast, Queensland",,"Gold Coast, Queensland",Roger Stevens,#Waikiki #honolulu #Hawaii https://t.co/WZE5zdokA3,Hawaii,,Honolulu,,,,0
Gold Coast,"Gold Coast, Queensland",Eastern Time (US & Canada),"Brisbane, Queensland",Joe,.@danielstorey85 @eaamalyon I always sit with the hardcore Brisbane fans at Brisbane Roar games. Top atmosphere.,,,Stadium,Recreation,Sport,Soccer,0.0674
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,,Shafiq Shahruddin,"I'm at Sushi D'lite in Robina, QLD https://t.co/ZKvqeweWef",Gold Coast,Suburb,Robina,Food and Beverage,Restaurant,Sushi D'lite,0
Gold Coast,"Gold Coast, Queensland",Melbourne,Kwt‚ù§-The Land Down Under(Aus‚ô°),Ahmad AlBuloushi..,"I'm at Gold Coast Airport (OOL) - @gcairport in Bilinga, QLD w/ @mohammadhamad2 @iknaimish @chakla_ @duaij_khalefa https://t.co/Q0Y61bFbvE",Gold Coast,Suburb,Bilinga,Air transport,Aiport,Gold Coast Airport,0
Gold Coast,"Gold Coast, Queensland",Singapore,Anywhere in the World,‚ô? Furlisia œâ è…≥≈ãe,"Picking up our car?üòÅ (@ Europcar in Surfers Paradise, QLD) https://t.co/3MgBMTcycf",,,Surfer Paradise,Transport,Car rental,Europcar,0.6369
Gold Coast,"Gold Coast, Queensland",Sydney, Australia,Glen Anderson,Milky way in between two storm cells.  Kingscliff Australia #stormhour @StormHour @Earth_Pics @SkyWeatherAUS https://t.co/Rj3IT6jAhS,Northern Rivers,Suburb,Kingscliff,,,,0
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,Subang - Melbourne,Amm,From Gold Coast with love ?üèÑ?üèª @ Surfers Paradise Beach https://t.co/0MDV6p5RZK,Gold Coast,Suburb,Surfer Paradise,,,,0.8555
Gold Coast,"Gold Coast, Queensland",,"Kuwait#Australia,Gold Coast ",ÿ®Ÿà Ÿ?ÿπŸÇŸàÿ®,"I'm at RACV Royal Pines Resort in Benowa, QLD https://t.co/jzTlsx3xRZ",,,Benowa,Accommodation,Hotel and resort,RACV Royal Pines Resort,0
Gold Coast,"Gold Coast, Queensland",,Bacolod City,Kenn Manasan,Molto buono Gelatissimo! #wheningoldcoast #australia16‚Ä¶ https://t.co/m5HPGdgsMn,Gold Coast,,,Food and Beverage,Ice cream shop,Gelatissimo,0
Gold Coast,"Gold Coast, Queensland",Kuala Lumpur,"Brisbane, Australia",Din Abu Bakar,Long weekend done right. @ Burleigh Heads Beach https://t.co/wHen8EqSMa,Gold Coast,Suburb,Burleigh Heads,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,,Zharif Emmett,Went to Sea World today. https://t.co/BhFeKuVwr7,Gold Coast,Suburb,Main Beach,Attraction,Manmade,Themepark,0
Gold Coast,"Gold Coast, Queensland",,,Ben Latimer,Good morning. Swell has picked up a little and has provided some rideable waves. Have s great‚Ä¶ https://t.co/MHILSmWVj7,,,,,,,0.1468
Gold Coast,"Gold Coast, Queensland",Hawaii,Australia,Logan Skinner,Catch up Japanese Lunch with highflyingdreams #japanese #lunch #australiafair‚Ä¶ https://t.co/wLxXrVP9AS,Gold Coast,Suburb,Southport,Shopping,Shopping Centre,Australia Fair,0
Gold Coast,"Gold Coast, Queensland",,,Eric Aranda,During our tribute to prince.. #purplerain #RIP @ Jupiters Gold Coast https://t.co/X6N8MXkecE,Gold Coast,Suburb,Broadbeach,Entertainment,Shows and gambling,Casino,0
Gold Coast,"Gold Coast, Queensland",,,Shane,Beers with Brad at new BB home - great night?üçª #keepitlocal #burleighbrewing‚Ä¶ https://t.co/Y2S66WvNo0,Gold Coast,Suburb,Burleigh Heads,Food and Beverage,Bar,Burleigh Brewing,0.6249
Gold Coast,"Gold Coast, Queensland",,Gold Coast,Cameron Mole,Old school American brown ‚Äî Drinking a Moose Drool Brown Ale @ The Institution Gastro Ale House ‚Äî https://t.co/xFGOuypPSP #photo,,,,Food and Beverage,Bar,The Institution Gastro Ale House,0
Gold Coast,"Gold Coast, Queensland",Mountain Time (US & Canada),Canmore   Alberta,Aydin Odyakmaz,Enjoying the #surf #surfersparadise #Australia #ocean #swim #nature #destination #tourism‚Ä¶ https://t.co/6HI4wS1Fgr,Gold Coast,Suburb,Surfer Paradise,,,,0.5267
Gold Coast,"Gold Coast, Queensland",,,Jonathan Ng,"I'm at @HiltonHotels in Surfers Paradise, QLD https://t.co/knzSIg2W33",Gold Coast,Suburb,Surfer Paradise,Accommodation,Hotel and resort,Hilton Hotels,0.6369
Gold Coast,"Gold Coast, Queensland",Pacific Time (US & Canada),Indonesia~,Afriansyah,I'm yours?ü?∂?üë´?üíï?üí??üí??üí? @ Dreamworld Australia https://t.co/IsE2J4E9O7,Gold Coast,Suburb,Oxenford,Attraction,Manmade,Theme park,0
Gold Coast,"Gold Coast, Queensland",Wellington,"Dunedin, New Zealand",James Gunn,"Loving it over here in #Australia! #travel #snapseed #SamsungS6 @ Surfers Paradise, Queensland https://t.co/ZhZpGtamc9",Gold Coast,Suburb,Surfer Paradise,,,,0.6364
Gold Coast,"Gold Coast, Queensland",Madrid,"Madrid, Comunidad de Madrid",Alberto Casillas,"Goodbye Gold Coast... finishing trip in Oceania, great experience. Now time to build up a better‚Ä¶ https://t.co/SFvcjDd5Ev",Oceania,Country,Australia,,,,0.3125
Gold Coast,"Gold Coast, Queensland",Sydney,,michelle,Today's office setting @ Surfers Paradise Beach https://t.co/8SMjLHHnz0,Gold Coast,Suburb,Surfer Paradise,,,,0.6369
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, QLD",Running Physio,Jeff &amp; Tina how about #gcam17 @GCMarathon ? ?üëç?üèª?üëü https://t.co/rNdxlokUin,Gold Coast,,,Recreation,Sport event,GCMarathon,0
Gold Coast,"Gold Coast, Queensland",,,Andrea Jackson,"Sunsets and spas with @olliesblog at @sofitelgc after a day at the beach
#goldcoast #luxury‚Ä¶ https://t.co/hT0F4RaZzb",Gold Coast,Beach,Gold Coast beach,Accommodation,Hotel and Resort,Sofitel,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Brisbane, Queensland",Aaesha,Saying goodbye to the #GoldCoast ?üò¢ https://t.co/YZqXaYUGKr,Gold Coast,,,,,,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, Australia",Matt Payne,Not the worst afternoon at metriconstadium for @goldcoastsuns V North #AFLSunsNorth @ Metricon‚Ä¶ https://t.co/16XFHF5yny,Gold Coast,Suburb,Carrara,Recreation,Sport,AFL,-0.6249
Gold Coast,"Gold Coast, Queensland",Mountain Time (US & Canada),"Iowa City‚úàÔ∏èGold Coast, AU",Kelsi Hancock,"Left the airport to Australia, blinked, and 4 months had flown by. I cannot believe my semester‚Ä¶ https://t.co/VWT0lGIuWh",Australia,,,,,,0
Gold Coast,"Gold Coast, Queensland",,,Oliver Bones,Checking out the mansions of surfers paradise! #australia #blackandwhite #boat #sea #sand #cool‚Ä¶ https://t.co/Gnd5Atvf4a,Gold Coast,Suburb,Surfer's Paradise,Water based activity,Boats,,0.3348
Gold Coast,"Gold Coast, Queensland",Alaska,Singapore,Lord K?Øms,"You've been amazing Gold Coast, thank you! #vscocam #goldcoasting @ The Spit, Main Beach https://t.co/aA7xphkqSc",Gold Coast,Suburb,Main Beach,,,,0.3822
Gold Coast,"Gold Coast, Queensland",Brisbane,Gold Coast,City of Gold Coast,"Who's checking out #GLOWGC this saturday night 5pm - 9pm.
at Gold Coast Cultural Precinct? https://t.co/fJu0AzgFOb https://t.co/K2JX16GQr1",Gold Coast,Area,Cultural Precinct,Event,festival,Glow Festival,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Brisbane, Australia",Des Thureson,Finished! 2016 Quicksilver Pro &amp; Roxy Pro pic gallery https://t.co/aVLmwzBFd5 #QuikPro #RoxyPro #surfing #surfphotos https://t.co/1GXYbiA6VP,,,,Recreation,Sport event,Quicksilver Pro,0
Gold Coast,"Gold Coast, Queensland",Tokyo,,ÂêçÊ≥¢?ÅØ?Çã?Åã,"Champagne time(((?æ¬¥‚àÄ`?æ)?É?‚ô°?ÉΩ(?æ¬¥‚àÄ`?æ)))
#Champagne#restaurant #Goldcoast #hotel #palazzoversace‚Ä¶ https://t.co/oMRjTWj9YS",Gold Coast,Suburb,Main Beach,Accommodation,Hotel and Resort,Palazzo Versace,0.296
Gold Coast,"Gold Coast, Queensland",,,Terry Zarsoff,.@mickobrien83 not much Mick probably dodge the traffic leaving Metricon #big Crowd,,,Metricon,Recreation,Sports and events,Stadium,0
Gold Coast,"Gold Coast, Queensland",,"Queensland / TenthRegion, KUW",ŸÖÿ¥ÿπŸÑ ÿ≠ŸÖÿØÿßŸÜ ÿßŸÑÿπÿØŸàÿßŸÜŸ?,"I'm at Main Beach in Main Beach, QLD https://t.co/UgtXyV0os8",Gold Coast,Suburb,Main Beach,,,,0
Gold Coast,"Gold Coast, Queensland",Melbourne,"Melbourne, Australia",Wayne Schmidt,Old fashioned #cocktail time. #bourbon #q1 @ Longboards Laidback Eatery &amp; Bar https://t.co/jvfALQGs4l,,,,Food and Beverage,"Bars, pubs and clubs",Q1,0.064
Gold Coast,"Gold Coast, Queensland",,Gold Coast,Valerie Moraleda,Monday nights be like... ?üçª @ Dog &amp; Parrot Tavern https://t.co/83XKVWNzc4,,,,Food and Beverage,"Bars, pubs and clubs",,0
Gold Coast,"Gold Coast, Queensland",Melbourne,"Melbourne, Australia (usually)",Andy Fleming,"I'm at Wet'n'Wild Gold Coast - @wetnwildgc in Oxenford, QLD https://t.co/VEV0PnSQC5",Gold Coast,Suburb,Oxenford,Attraction,Manmade,Theme Park,0
Gold Coast,"Gold Coast, Queensland",Melbourne,"Gold Coast, Queensland",Giaan Rooney,I have certainly re-acclimatised to the Qld #weather..... It's 20 degrees today and I'm freezing! ‚ùÑÔ∏è,Queensland,,,,,,0.0547
Gold Coast,"Gold Coast, Queensland",,Australia,Takkesh Mizoguchi,"Happy place for me!! Pic | elijahfrankland 
#greenroom #yogasurf #yogi #milnesurfboards #rugu‚Ä¶ https://t.co/zgGHO5Scr1",,,,,,,0.3234
Gold Coast,"Gold Coast, Queensland",,"Kuwait#Australia,Gold Coast ",ÿ®Ÿà Ÿ?ÿπŸÇŸàÿ®,Rose gold sunrise ?üíõ https://t.co/7Lt1EwVbaX,,,,,,,0
Gold Coast,"Gold Coast, Queensland",,,matt wilkinson,Rnd 4 let's geddit onnnn. @ Quiksilver Pro Gold Coast https://t.co/sHk4TaWs9b,Gold Coast,,,Recreation,sport event,quiksilver pro,0
Gold Coast,"Gold Coast, Queensland",Brisbane,"Gold Coast, Queensland",B4print,"I have never seen two straight lines in the clouds like this before. 

#goldcoast‚Ä¶ https://t.co/myfMaSMhcf",Gold Coast,,,,,,0.1052
Gold Coast,"Gold Coast, Queensland",Alaska,,Izzaty H.,"Day 2 ; Theme park day ?ü?à @ Warner Bros. Movie World - Gold Coast,‚Ä¶ https://t.co/CZk1kQ8vNf",Gold Coast,Suburb,Oxenford,Attraction,Manmade,Theme Park,0
Gold Coast,"Gold Coast, Queensland",,"Sydney, New South Wales",Rob Harris,Another great day on the #goldcoast I am very lucky. #beach #beautiful https://t.co/MYZMbZCXKJ,Gold Coast,,,,,,0.4008
Gold Coast,"Gold Coast, Queensland",,Australia,Oz Tour Guide,Who's ready for the #weekend? A #beautiful #view of the #GoldCoast by @my_photo_place via IG #getoutthereandexplore https://t.co/KGmC4BqqCl,Gold Coast,,,,,,0.1806
Gold Coast,"Gold Coast, Queensland",,,Peter Smith,"Sapphire,Emerald,Jade and Pandanus  
#beach #sun #nature #water #Instag_app #ocean #lake‚Ä¶ https://t.co/ofzMscsUyD",,,,,,,0
Gold Coast,"Gold Coast, Queensland",,Surfers Paradise,Pat Fontana,"#nonamelane #broadbeach #goldcoastlife @ Broadbeach, Queensland, Australia https://t.co/66nBTdtP6g",Gold Coast,Suburb,Broadbeach,,,,0
